,Unnamed: 0,Artist,Streams (millions),Top song
0,0,Drake,130513.1,One Dance
1,1,Taylor Swift,122996.6,Cruel Summer
2,3,The Weeknd,92107.6,Blinding Lights
3,4,Justin Bieber,72775.6,Love Yourself
4,5,Ariana Grande,65235.0,7 rings
5,6,Travis Scott,63369.4,goosebumps
6,7,Ed Sheeran,63119.8,Shape of You
7,8,Eminem,62948.3,Without Me
8,9,Kanye West,62433.8,Heartless
9,10,Rihanna,57635.2,Umbrella
