,Artist,Streams (millions),Top song,Gender
0,Drake,130407.7,One Dance,male
1,Taylor Swift,122896.2,Cruel Summer,female
2,The Weeknd,92037.6,Blinding Lights,male
3,Justin Bieber,72722.5,Love Yourself,male
4,Ariana Grande,65188.9,7 rings,female
5,Travis Scott,63357.8,goosebumps,male
6,Ed Sheeran,63088.3,Shape of You,male
7,Eminem,62909.7,Without Me,male
8,Kanye West,62340.7,Heartless,male
9,Rihanna,57575.8,Umbrella,female
